;Arr;Dep;Label;Shunting
4500;;;;
Pendolino;;;;
from Gliwice;;;;
"""CB"", ""ST"", 2, ""(1)""";;;;
"""CB-KTC-1"", ""SBL"", 2, ""1"", ""(2)""";;;;
"""CB-KTC-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";;;;
"""KTC-KO-1"", ""SBL+PO(Załęże)"", 2, ""1"", ""(2)""";;;;
"""KTC-KO-2"", ""SBL+Sem(ST)"", 2, ""2"", ""(2)""";;;;
"""KO"", ""ST"", 2, ""(3)""";16:31;16:35;Katowice;
"""KO"", ""ST"", 114, ""(N/A)""";;;;
"""KO-KZ"", ""SBL+Sem(ST)"", 2, ""1"", ""(1)""";;;;
"""KZ"", ""ST"", 2, ""(1)""";;;;
to Gdynia Główna via Warszawa;;;;
####;;;;
KS - Os;;;;
94317;;;;
S8;;;;
from Oświęcim;;;;
"""KZ"", ""ST"", 3, ""(2)""";16:39;16:39;Katowice Zawodzie;
"""KZ-KO"", ""SBL+Sem(ST)"", 3, ""1"", ""(1)""";;;;
"""KO"", ""ST"", 117, ""(N/A)""";;;;
"""KO"", ""ST"", 7, ""(1)""";16:44;16:50;Katowice;
"""KO-KTC-1"", ""SBL"", 1, ""1"", ""(2)""";;;;
"""KO-KTC-2"", ""SBL+POGP"", 1, ""2"", ""(2)""";16:53;16:53;Katowice Załęże;
"""KTC-CB-1"", ""SBL"", 1, ""1"", ""(2)""";;;;
"""KTC-CB-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";;;;
"""CB"", ""ST"", 3, ""(2)""";16:57;16:57;Chorzów Batory;
to Lubliniec;;;;
####;;;;
KS - Os;;;;
44717;;;;
S7;;;;
departs from Katowice;;;;
"""KO"", ""ST-M"", 1114, ""(N/A)""";;;;Y
"""KO"", ""ST"", 1, ""(2)""";;16:36;Katowice;
"""KO-Bugla-Bry-1"", ""Sem(ST)+SBL"", 1, ""1"", ""(2)""";;;;
"""KO-Bugla-Bry-2"", ""SBL+Sem(PODG)"", 1, ""2"", ""(2)""";;;;
"""Bry-KL-1"", ""SBL+POGP"", 1, ""1"", ""(2)""";16:39;16:39;Katowice Brynów;
"""Bry-KL-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";;;;
"""KL"", ""ST"", 3, ""(1)""";16:43;16:43;Katowice Ligota;
to Racibórz;;;;
####;;;;
KS - Os;;;;
64350;;;;
S8;;;;
from Kluczbork;;;;
"""CB"", ""ST"", 4, ""(2)""";16:31;16:31;Chorzów Batory;
"""CB-KTC-1"", ""SBL"", 2, ""1"", ""(2)""";;;;
"""CB-KTC-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";;;;
"""KTC-KO-1"", ""SBL+PO(Załęże)"", 2, ""1"", ""(2)""";16:34;16:34;Katowice Załęże;
