;Arr;Dep;Approx_enter;Label;Shunting;
"""Bry-KL-1"", ""SBL+POGP"", 1, ""1"", ""(2)""";;;;;;
"""Bry-KL-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";;;;;;
"""KL"", ""ST"", 1, ""(2)""";16:17;16:18;;Katowice Ligota;;
"""KL-Mc-1"", ""SBL+PO(Piotrowice)"", 1, ""1"", ""(6)""";16:21;16:21;;Katowice Piotrowice;;
"""KL-Mc-2"", ""SBL"", 1, ""2"", ""(6)""";;;;;;
"""KL-Mc-3"", ""SBL"", 1, ""3"", ""(6)""";;;;;;
"""KL-Mc-4"", ""SBL+PO(Podlesie)"", 1, ""4"", ""(6)""";;;;Katowice Podlesie;;
"""KL-Mc-5"", ""SBL"", 1, ""5"", ""(6)""";;;;;;
"""KL-Mc-6"", ""SBL+Sem(PODG)"", 1, ""6"", ""(6)""";;;;;;
"""Mc"", ""PODG"", 1, ""(N/A)""";;;;;;
"""Mc-Ty"", ""Sem(odstep)+Sem(ST)"", 1, ""1"", ""(1)""";;;;;;
"""Ty"", ""ST"", 101, ""(N/A)""";;;;;;
"""Ty"", ""ST"", 1, ""(2)""";16:27;16:28;;Tychy;;
"""Ty-Kob-1"", ""SBL"", 1, ""1"", ""(6)""";;;;;;
to WisÅ‚a GÅ‚Ä™bce;;;;;;
####;;;;;;
KS - OsP;;;;;;Tak naprawdê to on na naszym odcinku jest ssobowy, a nie OsP
40150;;;;;;
S1 KARLIK;;;;;;
from Gliwice;;;;;;
"""GLC"", ""ST"", 6, ""(2)""";;15:49;;Gliwice;;
"""GLC-ZZ-1"", ""SBL"", 2, ""1"", ""(5)""";;;;;;
"""GLC-ZZ-2"", ""SBL"", 2, ""2"", ""(5)""";;;;;;
"""GLC-ZZ-3"", ""SBL"", 2, ""3"", ""(5)""";;;;;;
"""GLC-ZZ-4"", ""SBL"", 2, ""4"", ""(5)""";;;;;;
"""GLC-ZZ-5"", ""SBL+Sem(ST)"", 2, ""5"", ""(5)""";;;;;;
"""ZZ"", ""ST"", 2, ""(1)""";15:56;15:56;;Zabrze;;
"""ZZ-RCB-1"", ""SBL"", 2, ""1"", ""(4)""";;;;;;
"""ZZ-RCB-2"", ""SBL"", 2, ""2"", ""(4)""";;;;;;
"""ZZ-RCB-3"", ""SBL+PO(Ruda)"", 2, ""3"", ""(4)""";16:01;16:01;;Ruda Slaska;;
"""ZZ-RCB-4"", ""SBL+Sem(ST)"", 2, ""4"", ""(4)""";;;;;;
"""RCB"", ""ST"", 2, ""(1)""";16:03;16:03;;Ruda Chebzie;;
"""RCB-CB-1"", ""SBL"", 2, ""1"", ""(3)""";;;;;;
"""RCB-CB-2"", ""SBL+PO(Œwiêtoch³owice)"", 2, ""2"", ""(3)""";16:06;16:06;;Swietochlowice;;
"""RCB-CB-3"", ""SBL+Sem(ST)"", 2, ""3"", ""(3)""";;;;;;
"""CB"", ""ST"", 2, ""(1)""";16:10;16:10;;ChorzÃ³w Batory;;
"""CB-KTC-1"", ""SBL"", 2, ""1"", ""(2)""";;;;;;
"""CB-KTC-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";;;;;;
"""KTC-KO-1"", ""SBL+PO(ZaÅ‚Ä™Å¼e)"", 2, ""1"", ""(2)""";16:13;16:13;;Katowice ZaÅ‚Ä™Å¼e;;
"""KTC-KO-2"", ""SBL+Sem(ST)"", 2, ""2"", ""(2)""";;;;;;
"""KO"", ""ST"", 4, ""(3)""";16:16;16:18;;Katowice;;
"""KO"", ""ST"", 114, ""(N/A)""";;;;;;
"""KO-KZ"", ""SBL+Sem(ST)"", 2, ""1"", ""(1)""";;;;;;
"""KZ"", ""ST"", 2, ""(1)""";16:26;16:26;;Katowice Zawodzie;;
to CzÄ™stochowa;;;;;;
####;;;;;;
IC - IC;;;;;;
41004;;;;;;
BATHORY;;;;;;
from Budapest-Nyugati;;;;;;
"""Ty-£Œ"", ""Sem(odstep)"", 1, ""1"", ""(1)""";;;?;;;Wydaje mi siê, ¿e on jedzie przez Rybnik - czy dostosowujemy czasy w stacji Tychy? Od strony £. Œrednich da siê wjechaæ tylko na tory przy peronie 3
"""Ty"", ""ST"", 7, ""(3)""";16:00;16:01;;;;
"""Ty"", ""ST"", 102, ""(N/A)""";;;;;;
"""Ty-Mc"", ""Sem(odstep)"", 2, ""1"", ""(1)""";;;;;;
"""Mc"", ""PODG"", 2, ""(N/A)""";;;;;;
"""Mc-KL-1"", ""SBL"", 2, ""1"", ""(5)""";;;;;;
"""Mc-KL-2"", ""SBL+PO(Podlesie)"", 2, ""2"", ""(5)""";;;;;;
"""Mc-KL-3"", ""SBL"", 2, ""3"", ""(5)""";;;;;;
"""Mc-KL-4"", ""SBL"", 2, ""4"", ""(5)""";;;;;;
"""Mc-KL-5"", ""SBL+Sem(ST)"", 2, ""5"", ""(5)""";;;;;;
"""KL"", ""ST"", 2, ""(2)""";;;;;;
"""KL-Bry-1"", ""SBL"", 2, ""1"", ""(2)""";;;;;;
"""KL-Bry-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";;;;;;
"""Bry"", ""PODG"", 2, ""1"", ""(1)""";;;;;;
"""Bry-KO"", ""PODG+Sem(ST)"", 2, ""1"", ""(1)""";;;;;;
"""KO"", ""ST"", 10, ""(4)""";16:15;16:23;;Katowice;;
"""KO"", ""ST"", 118, ""(N/A)""";;;;;;
"""KO-KZ"", ""SBL+Sem(ST)"", 2, ""1"", ""(1)""";;;;;;
"""KZ"", ""ST"", 2, ""(1)""";;;;;;
to Brest-Centralnyi;;;;;;
####;;;;;;
KS - OsP;;;;;;
94113;;;;;;
S5 SPRINTER;;;;;;
departs from Katowice;;;;;;
"""Rac(KS)"", ""B-M"", 200, ""(N/A)""";;;16:10;;Y;"Ile czasu? 15 min? Przy okazji ile czasu na zmianê czo³a? Czy nie zrobiæ kolumny G na jakies oznaczenie oznaczj¹ce zmianê czo³a? Np. Turnaround (Y/N); dodaj 5 minut kary"
"""KO"", ""ST"", 1, ""(2)""";;16:24;;Katowice;;
"""KO-Bugla-Bry-1"", ""Sem(ST)+SBL"", 1, ""1"", ""(2)""";;;;;;
"""KO-Bugla-Bry-2"", ""SBL+Sem(PODG)"", 1, ""2"", ""(2)""";;;;;;
"""Bry-KL-1"", ""SBL+POGP"", 1, ""1"", ""(2)""";;;;;;
"""Bry-KL-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";;;;;;
"""KL"", ""ST"", 1, ""(2)""";16:30;16:30;;Katowice Ligota;;
"""KL-Mc-1"", ""SBL+PO(Piotrowice)"", 1, ""1"", ""(6)""";16:33;16:33;;Katowice Piotrowice;;
"""KL-Mc-2"", ""SBL"", 1, ""2"", ""(6)""";;;;;;
"""KL-Mc-3"", ""SBL"", 1, ""3"", ""(6)""";;;;;;
"""KL-Mc-4"", ""SBL+PO(Podlesie)"", 1, ""4"", ""(6)""";;;;;;
"""KL-Mc-5"", ""SBL"", 1, ""5"", ""(6)""";;;;;;
"""KL-Mc-6"", ""SBL+Sem(PODG)"", 1, ""6"", ""(6)""";;;;;;
"""Mc"", ""PODG"", 1, ""(N/A)""";;;;;;
"""Mc-Ty"", ""Sem(odstep)+Sem(ST)"", 1, ""1"", ""(1)""";;;;;;
"""Ty"", ""ST"", 101, ""(N/A)""";;;;;;
"""Ty"", ""ST"", 1, ""(2)""";16:39;16:41;;Tychy;;
"""Ty-Kob-1"", ""SBL"", 1, ""1"", ""(6)""";;;;;;
to Å»ywiec;;;;;;
####;;;;;;
KS - Os;;;;;;
40673;;;;;;
S1;;;;;;
from Czestochowa;;;;;;
"""SG-KZ"", ""SBL"", 1, ""1"", ""(3)""";;;16:12:00;;;czas odjazdu = 16:14  - 1,7 (default z kolumny H) w KZ-KO-KL-CB_paths.ods
"""KZ"", ""ST"", 1, ""(1)""";16:14;16:14;;Katowice Zawodzie;;
"""KZ-KO"", ""SBL+Sem(ST)"", 1, ""1"", ""(1)""";;;;;;
"""KO"", ""ST"", 117, ""(N/A)""";;;;;;
"""KO"", ""ST"", 7, ""(1)""";16:18;16:30;;Katowice;;
"""KO-KTC-1"", ""SBL"", 1, ""1"", ""(2)""";;;;;;
"""KO-KTC-2"", ""SBL+POGP"", 1, ""2"", ""(2)""";16:33;16:33;;Katowice ZaÅ‚Ä™Å¼e;;
"""KTC-CB-1"", ""SBL"", 1, ""1"", ""(2)""";;;;;;
"""KTC-CB-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";;;;;;
"""CB"", ""ST"", 1, ""(1)""";16:36;16:36;;Chorzów Batory;;
"""CB-RCB-1"", ""SBL"", 1, ""1"", ""(3)""";;;;;;
